Nodes     Density  Edges      Hops   B.Mean(ms)  B.Std(ms)   B.TO   Build(ms)   L.Mean(ms)  L.Std(ms)   L.TO   Speedup 
--------  -------  ---------  -----  ----------  ----------  -----  ----------  ----------  ----------  -----  --------
100       1.0      100        2      8.03        2.75        0      51.14       7.21        2.78        0      0.14    
100       1.0      100        4      17.25       10.57       0      51.14       14.11       18.14       0      0.26    
100       1.0      100        8      24.49       18.10       0      51.14       10.40       11.61       0      0.40    
100       1.0      100        16     31.23       16.72       0      51.14       20.88       25.41       0      0.43    
100       5.0      500        2      19.75       12.08       0      57.04       13.49       7.90        0      0.28    
100       5.0      500        4      144.73      14.07       0      57.04       15.44       14.06       0      2.00    
100       5.0      500        8      0.00        0.00        3      57.04       31.89       18.18       0      0.00    
100       5.0      500        16     0.00        0.00        3      57.04       29.29       14.74       0      0.00    
100       10.0     1000       2      26.60       8.19        0      51.19       16.12       9.87        0      0.40    
100       10.0     1000       4      1404.59     64.96       0      51.19       37.30       15.02       0      15.87   
100       10.0     1000       8      0.00        0.00        3      51.19       141.02      13.53       0      0.00    
100       10.0     1000       16     0.00        0.00        3      51.19       368.39      58.53       0      0.00    
1000      1.0      1000       2      18.58       9.94        0      95.28       22.36       22.25       0      0.16    
1000      1.0      1000       4      31.57       17.97       0      95.28       20.53       20.74       0      0.27    
1000      1.0      1000       8      41.13       21.45       0      95.28       18.42       15.54       0      0.36    
1000      1.0      1000       16     72.85       18.38       0      95.28       8.45        2.51        0      0.70    
1000      5.0      5000       2      68.33       21.27       0      250.08      21.48       10.00       0      0.25    
1000      5.0      5000       4      1003.70     99.95       0      250.08      39.47       14.85       0      3.47    
1000      5.0      5000       8      0.00        0.00        3      250.08      66.38       12.44       0      0.00    
1000      5.0      5000       16     0.00        0.00        3      250.08      65.98       13.50       0      0.00    
1000      10.0     10000      2      133.78      34.40       0      471.84      49.63       32.01       0      0.26    
1000      10.0     10000      4      12761.68    401.04      0      471.84      109.67      10.15       0      21.95   
1000      10.0     10000      8      0.00        0.00        3      471.84      1083.35     43.89       0      0.00    
1000      10.0     10000      16     0.00        0.00        3      471.84      3666.57     312.61      0      0.00    
10000     1.0      10000      2      50.05       18.38       0      378.71      29.69       16.47       0      0.12    
10000     1.0      10000      4      73.47       13.69       0      378.71      29.59       13.65       0      0.18    
10000     1.0      10000      8      130.20      18.03       0      378.71      34.42       11.37       0      0.32    
10000     1.0      10000      16     320.97      18.63       0      378.71      33.83       13.12       0      0.78    
10000     5.0      50000      2      257.81      52.70       0      1507.29     68.42       11.08       0      0.16    
10000     5.0      50000      4      8059.48     190.17      0      1507.29     156.52      21.65       0      4.84    
10000     5.0      50000      8      0.00        0.00        3      1507.29     308.97      4.29        0      0.00    
10000     5.0      50000      16     0.00        0.00        3      1507.29     340.73      7.33        0      0.00    
10000     10.0     100000     2      825.78      59.35       0      4504.60     132.17      10.34       0      0.18    
10000     10.0     100000     4      0.00        0.00        3      4504.60     921.09      102.58      0      0.00    
10000     10.0     100000     8      0.00        0.00        3      4504.60     11960.77    77.55       0      0.00    
10000     10.0     100000     16     0.00        0.00        3      4504.60     43111.56    489.49      0      0.00    
100000    1.0      100000     2      171.30      26.18       0      4183.19     95.23       11.82       0      0.04    
100000    1.0      100000     4      372.81      31.39       0      4183.19     105.07      13.77       0      0.09    
100000    1.0      100000     8      991.01      130.05      0      4183.19     107.61      13.31       0      0.23    
100000    1.0      100000     16     2786.85     31.08       0      4183.19     105.32      7.47        0      0.65    
100000    5.0      500000     2      2119.22     17.46       0      15954.79    439.16      8.38        0      0.13    
100000    5.0      500000     4      0.00        0.00        3      15954.79    1743.41     6.57        0      0.00    
100000    5.0      500000     8      0.00        0.00        3      15954.79    4437.20     49.43       0      0.00    
100000    5.0      500000     16     0.00        0.00        3      15954.79    4847.19     47.03       0      0.00    
100000    10.0     1000000    2      9159.81     329.36      0      47156.83    1273.45     28.15       0      0.19    
100000    10.0     1000000    4      0.00        0.00        3      47156.83    14045.84    32.07       0      0.00    
100000    10.0     1000000    8      0.00        0.00        3      47156.83    0.00        0.00        3      0.00    
100000    10.0     1000000    16     0.00        0.00        3      47156.83    0.00        0.00        3      0.00    
1000000   1.0      1000000    2      1391.61     291.19      0      41186.58    636.31      24.76       0      0.03    
1000000   1.0      1000000    4      3195.27     56.92       0      41186.58    763.40      24.04       0      0.08    
1000000   1.0      1000000    8      8999.40     164.08      0      41186.58    754.87      18.66       0      0.21    
1000000   1.0      1000000    16     28196.14    159.60      0      41186.58    763.87      28.03       0      0.67    
1000000   5.0      5000000    2      23964.87    903.04      0      189413.34   5228.20     28.53       0      0.12    
1000000   5.0      5000000    4      0.00        0.00        3      189413.34   21244.92    400.22      0      0.00    
1000000   5.0      5000000    8      0.00        0.00        3      189413.34   55382.44    193.29      0      0.00    
1000000   5.0      5000000    16     0.00        0.00        3      189413.34   0.00        0.00        3      0.00    
